"Sum - Count","Classification",,,,
"Date","<b>Unable to connect to Rserve</b> (result=-1, socket:unknown socket error 2).
","don't know...","food poisoning tweet","not a food poisoning tweet","Total Result"
"11/10/2014",,,3,2,5
"11/12/2014",,,4,,4
"11/13/2014",,,4,2,6
"11/14/2014",,1,2,4,7
"11/15/2014",,,3,5,8
"11/16/2014",,,7,3,10
"11/17/2014",,,4,6,10
"11/18/2014",,,3,14,17
"11/19/2014",,,3,11,14
"11/20/2014",,,4,14,18
"11/22/2014",,,1,1,2
"11/23/2014",,,,1,1
"11/24/2014",,,2,,2
"11/25/2014",,,1,,1
"11/30/2014",,,1,,1
"12/2/2014",,,,1,1
"12/4/2014",,,1,,1
"12/5/2014",,,1,,1
"12/6/2014",,,2,,2
"12/7/2014",,,1,,1
"12/9/2014",,,1,,1
"12/12/2014",,,1,,1
"12/14/2014",,,1,,1
"12/15/2014",,,,1,1
"12/20/2014",,,,1,1
"12/21/2014",,,2,1,3
"12/27/2014",,,1,,1
"12/29/2014",,,1,,1
"12/30/2014",,,1,1,2
"12/31/2014",,,1,,1
"1/2/2015",,,2,,2
"1/11/2015",,,1,,1
"1/17/2015",,,,2,2
"1/18/2015",,,1,,1
"1/19/2015",,,1,1,2
"1/20/2015",,,,1,1
"1/21/2015",,,1,1,2
"1/22/2015",,,2,1,3
"1/23/2015",,,1,,1
"1/25/2015",,,1,,1
"2/1/2015",,,1,1,2
"2/2/2015",,,1,,1
"2/6/2015",,,1,,1
"2/16/2015",,,,1,1
"2/21/2015",,,,1,1
"2/22/2015",,,1,,1
"2/24/2015",,,1,1,2
"2/28/2015",,,1,1,2
"3/1/2015",,,,1,1
"3/2/2015",,,1,1,2
"3/3/2015",,,1,,1
"3/4/2015",,,1,,1
"3/5/2015",,,1,,1
"3/11/2015",,,2,1,3
"3/12/2015",,,1,,1
"3/14/2015",,,1,1,2
"3/15/2015",,,1,,1
"3/17/2015",,,1,,1
"3/18/2015",,,3,,3
"3/20/2015",,,1,1,2
"3/22/2015",,,1,,1
"3/23/2015",,,1,2,3
"3/24/2015",,,1,,1
"3/28/2015",,,,1,1
"3/29/2015",,,1,,1
"4/1/2015",,1,,1,2
